,coordenada_x,coordenada_y,Zona
422,5440511.750905691,6354062.090060642,1
423,5440511.750905691,6354062.090060642,1
424,5440511.750905691,6354062.090060642,1
425,5440511.750905691,6354062.090060642,1
426,5440511.750905691,6354062.090060642,1
427,5440511.750905691,6354062.090060642,1
428,5438818.358952785,6350329.966410988,8
429,5438818.358952785,6350329.966410988,8
430,5438818.358952785,6350329.966410988,8
431,5438818.358952785,6350329.966410988,8
432,5438818.358952785,6350329.966410988,8
433,5438818.358952785,6350329.966410988,8
434,5438818.358952785,6350329.966410988,8
435,5438818.358952785,6350329.966410988,8
442,5437555.400340929,6357209.779329813,5
443,5437555.400340929,6357209.779329813,5
444,5439416.924608967,6350605.455716612,3
445,5439416.924608967,6350605.455716612,3
449,5438580.71878529,6355723.839137366,9
450,5438580.71878529,6355723.839137366,9
451,5438580.71878529,6355723.839137366,9
452,5438580.71878529,6355723.839137366,9
453,5438575.505315902,6355724.91464757,9
454,5438575.505315902,6355724.91464757,9
455,5438575.505315902,6355724.91464757,9
456,5438575.505315902,6355724.91464757,9
457,5438575.505315902,6355724.91464757,9
458,5438575.505315902,6355724.91464757,9
459,5436791.279763634,6355543.036913921,5
460,5436791.279763634,6355543.036913921,5
461,5441315.561981991,6352972.615615894,1
462,5435477.672945569,6354006.4863055125,0
463,5435477.672945569,6354006.4863055125,0
464,5435043.867228849,6355707.788695392,5
465,5435043.867228849,6355707.788695392,5
467,5433225.72,6355983.18,0
468,5433225.72,6355983.18,0
469,5433225.72,6355983.18,0
470,5433225.72,6355983.18,0
471,5433225.72,6355983.18,0
472,5433225.72,6355983.18,0
478,5431948.703636043,6357639.082866254,4
479,5431948.703636043,6357639.082866254,4
480,5431948.703636043,6357639.082866254,4
481,5431948.703636043,6357639.082866254,4
482,5431948.703636043,6357639.082866254,4
483,5431948.703636043,6357639.082866254,4
484,5431948.703636043,6357639.082866254,4
485,5431948.703636043,6357639.082866254,4
486,5431948.703636043,6357639.082866254,4
487,5431948.703636043,6357639.082866254,4
492,5438857.861970139,6352548.643642569,7
493,5438857.861970139,6352548.643642569,7
503,5432160.738962703,6357992.972485496,4
504,5438940.503324294,6353461.008054985,1
505,5438940.503324294,6353461.008054985,1
506,5439817.29342089,6354797.354010772,9
507,5439817.29342089,6354797.354010772,9
508,5439817.29342089,6354797.354010772,9
511,5432980.82814758,6354004.446223239,0
512,5432980.82814758,6354004.446223239,0
513,5432980.82814758,6354004.446223239,0
514,5432980.82814758,6354004.446223239,0
515,5432980.82814758,6354004.446223239,0
516,5432980.82814758,6354004.446223239,0
517,5438170.391826093,6352424.27144823,7
518,5438170.391826093,6352424.27144823,7
520,5434419.52,6361158.3,2
521,5434419.52,6361158.3,2
529,5431758.466576049,6356206.992727304,4
530,5431758.466576049,6356206.992727304,4
531,5439143.133449043,6347575.64370402,8
532,5439143.133449043,6347575.64370402,8
535,5434745.21,6356908.08,5
536,5434745.21,6356908.08,5
537,5434745.21,6356908.08,5
538,5434745.21,6356908.08,5
543,5431485.920142798,6357459.767658982,4
544,5435040.408303333,6355488.3370363545,0
545,5435040.408303333,6355488.3370363545,0
549,5434615.4133994095,6359578.367804293,6
550,5434615.4133994095,6359578.367804293,6
551,5434615.4133994095,6359578.367804293,6
552,5439548.42,6355812.16,9
553,5439548.42,6355812.16,9
